,name,param,proto_name,spacegroup,species,wyckoffs,proto_compo,name_short
243.0,30339-111533-SiO2,"{'a': 11.937317222415803, 'c': 0.42175967231112177, 'xi0': 0.507217, 'yi0': 0.14159200000000016, 'zi0': 0.020871, 'xh2': 0.803148, 'xh3': 0.605022, 'xh4': 0.4002944999999999}",AB2_12_i_gh3_163,163,"['Si', 'O', 'O', 'O', 'O']","['i', 'g', 'h', 'h', 'h']",AB2,SiO2
295.0,20163-24895-Cl2O,"{'a': 7.584608, 'b': 1.2050067716090271, 'ze0': 0.2157810000000001, 'yh1': 0.809752, 'zh1': 0.3206125000000001}",AB2_4_e_h_141,141,"['O', 'Cl']","['e', 'h']",AB2,Cl2O
657.0,600-2244-NaS2,"{'a': 9.59517, 'b': 1.2282496297616405, 'zc0': 0.169677, 'xd1': 0.7249875000000001, 'xe2': 0.6159949999999998, 'ye2': 0.854106, 'ze2': 0.14733049999999998, 'xe3': 0.7515689999999999, 'ye3': 0.968274, 'ze3': 0.04454349999999997}",AB2_8_cd_e2_122,122,"['Na', 'Na', 'S', 'S']","['c', 'd', 'e', 'e']",AB2,NaS2
95.0,11491-15434-SiO2,"{'a': 13.864904509445422, 'b': 0.972797179440473, 'c': 0.5304189673976443, 'beta': 102.68216623625399, 'xj0': 0.895633, 'yj0': 0.885241, 'zj0': 0.5450969999999999, 'xj1': 0.8869745, 'yj1': 0.7826965, 'zj1': 0.9187000000000001, 'xj2': 0.7343569999999999, 'yj2': 0.6102559999999999, 'zj2': 0.8570450000000001, 'yg3': 0.751893, 'yh4': 0.8494079999999999, 'xi5': 0.09481300000000004, 'zi5': 0.383089, 'xi6': 0.279339, 'zi6': 0.900045, 'xj7': 0.642727, 'yj7': 0.6257619999999999, 'zj7': 0.95998, 'xj8': 0.868242, 'yj8': 0.814118, 'zj8': 0.702079, 'xj9': 0.6946384999999999, 'yj9': 0.6264665, 'zj9': 0.635069, 'xj10': 0.822441, 'yj10': 0.685929, 'zj10': 0.9403170000000001}",AB2_12_j3_ghi2j4_12,12,"['Si', 'Si', 'Si', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['j', 'j', 'j', 'g', 'h', 'i', 'i', 'j', 'j', 'j', 'j']",AB2,SiO2
285.0,7985-11677-SiO2,"{'a': 25.077458564308248, 'b': 0.2069880800197101, 'c': 0.4726330807645843, 'beta': 108.67482924550352, 'xi0': 0.9384655, 'zi0': 0.5951474999999999, 'xi1': 0.927727, 'zi1': 0.33432249999999997, 'xi2': 0.382254, 'zi2': 0.6265715, 'xi3': 0.3675474999999999, 'zi3': 0.20611849999999998, 'xi4': 0.2914565, 'zi4': 0.3680755, 'xi5': 0.28156749999999997, 'zi5': 0.9749095, 'xi6': 0.2783819999999999, 'zi6': 0.7039084999999999, 'xi8': 0.9949994999999999, 'zi8': 0.37925349999999997, 'xi9': 0.9063515, 'zi9': 0.45096449999999993, 'xi10': 0.34671549999999995, 'zi10': 0.06137049999999994, 'xi11': 0.3454925, 'zi11': 0.48690349999999993, 'xi12': 0.3436865, 'zi12': 0.7119084999999999, 'xi13': 0.31281749999999997, 'zi13': 0.2521614999999999, 'xi14': 0.27787949999999995, 'zi14': 0.8381135, 'xj15': 0.9221374999999999, 'yj15': 0.2496795, 'zj15': 0.6573395, 'xj16': 0.905752, 'yj16': 0.24954200000000004, 'zj16': 0.25296149999999995, 'xj17': 0.7532745, 'yj17': 0.24999650000000007, 'zj17': 0.3678024999999999}",AB2_14_i7_ei7j3_12,12,"['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['i', 'i', 'i', 'i', 'i', 'i', 'i', 'e', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'j', 'j', 'j']",AB2,SiO2
1475.0,17193-21633-SiO2,"{'a': 9.256348, 'b': 1.1269049089338474, 'c': 0.9675637735314186, 'xh0': 0.6713845, 'yh0': 0.869899, 'zh0': 0.9252279999999999, 'xe2': 0.7329545000000001, 'yf3': 0.3563885000000001, 'zf3': 0.954555, 'xg4': 0.29135999999999995, 'yg4': 0.12696450000000004}",AB2_8_h_defg_63,63,"['Si', 'O', 'O', 'O', 'O']","['h', 'd', 'e', 'f', 'g']",AB2,SiO2
279.0,286629-677684-MnO2,"{'a': 9.72004, 'b': 0.2976473347846305, 'xh0': 0.34907350000000004, 'yh0': 0.16836349999999967, 'xh1': 0.846645, 'yh1': 0.7996809999999996, 'xh2': 0.8342795000000001, 'yh2': 0.5436674999999997}",AB2_4_h_h2_87,87,"['Mn', 'O', 'O']","['h', 'h', 'h']",AB2,MnO2
160.0,23379-28222-Ta2Au,"{'a': 10.096647, 'b': 0.5181872754390641, 'xi1': 0.73279, 'yi1': 0.063413, 'xf2': 0.396311, 'xi3': 0.464878, 'yi3': 0.129578, 'xj4': 0.816643, 'zj4': 0.749981}",AB2_10_ai_fij_136,136,"['Au', 'Au', 'Ta', 'Ta', 'Ta']","['a', 'i', 'f', 'i', 'j']",AB2,Ta2Au
1279.0,30340-111544-SiO2,"{'a': 12.989166866925087, 'c': 0.2891403304366881, 'xn0': 0.4793879999999999, 'yn0': 0.13122599999999984, 'zn0': 0.157153, 'xj1': 0.3818069999999998, 'xl2': 0.7943665000000002, 'xl3': 0.6089009999999999, 'xm4': 0.5516669999999999}",AB2_12_n_jl2m_177,177,"['Si', 'O', 'O', 'O', 'O']","['n', 'j', 'l', 'l', 'm']",AB2,SiO2
859.0,28120-47401-CdI2,"{'a': 4.2894844020752085, 'c': 19.356705193342236, 'zc0': 0.4583319999999999, 'zc1': 0.9583326666666665, 'zc2': 0.14590499999999995, 'zc3': 0.22923566666666662, 'zc4': 0.6041033333333332, 'zc5': 0.3125663333333333}",AB2_4_c2_c4_166,166,"['Cd', 'Cd', 'I', 'I', 'I', 'I']","['c', 'c', 'c', 'c', 'c', 'c']",AB2,CdI2
